,words,type,sentiment,lemm,source
0,абортивный,Adj,negative,абортивный,fact
1,аборт,Noun,negative,аборт,fact
2,абракадабра,Noun,negative,абракадабра,opinion
3,абсурдность,Noun,negative,абсурдность,opinion
4,абсурдный,Adj,negative,абсурдный,opinion
5,абсурд,Noun,negative,абсурд,opinion
6,авантюра,Noun,negative,авантюра,opinion
7,авантюризм,Noun,negative,авантюризм,opinion
8,авантюристический,Adj,negative,авантюристический,opinion
9,авантюристка,Noun,negative,авантюристка,opinion
10,авантюристский,Adj,negative,авантюристский,opinion
11,авантюрист,Noun,negative,авантюрист,opinion
12,авантюрный,Adj,negative,авантюрный,opinion
13,аварийность,Noun,negative,аварийность,fact
14,аварийный,Adj,negative,аварийный,fact
15,авария,Noun,negative,авария,fact
16,авиакатастрофа,Noun,negative,авиакатастрофа,fact
17,авиакрушение,Noun,negative,авиакрушение,fact
18,авианалет,Noun,negative,авианалет,fact
19,авиаудар,Noun,negative,авиаудар,fact
20,авиационный налет,NG,negative,авиационный налет,fact
21,авитаминозный,Adj,negative,авитаминозный,fact
22,авитаминоз,Noun,negative,авитаминоз,fact
23,авральный,Adj,negative,авральный,opinion
24,аврал,Noun,negative,аврал,opinion
25,автовор,Noun,negative,автовор,fact
26,автоматная очередь,NG,negative,автоматный очередь,fact
27,автоматный огонь,NG,negative,автоматный огонь,fact
28,автомобильная пробка,NG,negative,автомобильный пробка,fact
29,автоподстава,Noun,negative,автоподстава,fact
30,авторитаризм,Noun,negative,авторитаризм,opinion
31,авторитарность,Noun,negative,авторитарность,opinion
32,авторитарный,Adj,negative,авторитарный,opinion
33,авторитетность,Noun,positive,авторитетность,opinion
34,авторитетный,Adj,positive,авторитетный,opinion
35,авторитет,Noun,positive,авторитет,opinion
36,автоугонщик,Noun,negative,автоугонщик,fact
37,автоугон,Noun,negative,автоугон,fact
38,агент иностранной разведки,NG,negative,агент иностранный разведка,fact
39,агитка,Noun,negative,агитка,opinion
40,агонизировать,Verb,negative,агонизировать,opinion
41,агония,Noun,negative,агония,opinion
42,агрессивность,Noun,negative,агрессивность,opinion
43,агрессивный,Adj,negative,агрессивный,opinion
44,агрессия,Noun,negative,агрессия,opinion
45,агрессорский,Adj,negative,агрессорский,opinion
46,агрессор,Noun,negative,агрессор,opinion
47,адаптационный,Adj,positive,адаптационный,opinion
48,адаптация,Noun,positive,адаптация,opinion
49,адаптивность,Noun,positive,адаптивность,opinion
50,адаптивный,Adj,positive,адаптивный,opinion
51,адаптироваться,Verb,positive,адаптироваться,opinion
52,адекватность,Noun,positive,адекватность,opinion
53,адекватный,Adj,positive,адекватный,opinion
54,административное воздействие,NG,negative,административный воздействие,fact
55,административное давление,NG,negative,административный давление,fact
56,административные меры,NG,negative,административный мера,fact
57,административный барьер,NG,negative,административный барьер,fact
58,адовый,Adj,negative,адовый,opinion
59,адов,Adj,negative,адов,opinion
60,адский,Adj,negative,адский,opinion
61,ад,Noun,negative,ад,opinion
62,ажиотажный,Adj,negative,ажиотажный,fact
63,ажиотаж,Noun,negative,ажиотаж,opinion
64,ажитация,Noun,negative,ажитация,feeling
65,аккуратистка,Noun,positive,аккуратистка,opinion
66,аккуратист,Noun,positive,аккуратист,opinion
67,аккуратность,Noun,positive,аккуратность,opinion
68,аккуратный,Adj,positive,аккуратный,opinion
69,активность,Noun,positive,активность,opinion
70,активный,Adj,positive,активный,opinion
71,актуальность,Noun,positive,актуальность,opinion
72,актуальный,Adj,positive,актуальный,opinion
73,алкатель,Noun,negative,алкатель,opinion
74,алкашка,Noun,negative,алкашка,opinion
75,алкоголизация,Noun,negative,алкоголизация,fact
76,алкоголизм,Noun,negative,алкоголизм,fact
77,алкоголик,Noun,negative,алкоголик,fact
78,алкоголический,Adj,negative,алкоголический,fact
79,алкоголичка,Noun,negative,алкоголичка,opinion
80,алкогольная зависимость,NG,negative,алкогольный зависимость,fact
81,алкогольное опьянение,NG,negative,алкогольный опьянение,feeling
82,алкогольный угроза,NG,negative,алкогольная угроза,fact
83,алконавт,Noun,negative,алконавт,opinion
84,аллергенный,Adj,negative,аллергенный,fact
85,аллерген,Noun,negative,аллерген,fact
86,аллергический,Adj,negative,аллергический,fact
87,аллергия,Noun,negative,аллергия,fact
88,алогизм,Noun,negative,алогизм,opinion
89,алогический,Adj,negative,алогический,opinion
90,алогичность,Noun,negative,алогичность,opinion
91,алогичный,Adj,negative,алогичный,opinion
92,алчность,Noun,negative,алчность,opinion
93,алчный,Adj,negative,алчный,opinion
94,альцгеймер,Noun,negative,альцгеймер,fact
95,аморальность,Noun,negative,аморальность,opinion
96,аморальный,Adj,negative,аморальный,opinion
97,аморфность,Noun,negative,аморфность,opinion
98,аморфность,Noun,negative,аморфность,opinion
99,аморфность,Noun,neutral,аморфность,fact
100,аморфный,Adj,negative,аморфный,opinion
101,аморфный,Adj,negative,аморфный,opinion
102,аморфный,Adj,neutral,аморфный,fact
103,ампутационный,Adj,negative,ампутационный,fact
104,ампутация,Noun,negative,ампутация,fact
105,ампутированный,Adj,negative,ампутированный,fact
106,ампутировать,Verb,negative,ампутировать,fact
107,анархизм,Noun,negative,анархизм,fact
108,анархистка,Noun,negative,анархистка,fact
109,анархистский,Adj,negative,анархистский,fact
110,анархист,Noun,negative,анархист,fact
111,анархический,Adj,negative,анархический,fact
112,анархия,Noun,negative,анархия,fact
113,ангажированность,Noun,negative,ангажированность,opinion
114,ангажированный,Adj,negative,ангажированный,opinion
115,ангельский,Adj,positive,ангельский,opinion
116,ангел,Noun,positive,ангел,opinion
117,ангина,Noun,negative,ангина,fact
118,ангинный,Adj,negative,ангинный,fact
119,ангиозный,Adj,negative,ангиозный,fact
120,анемический,Adj,negative,анемический,fact
121,анемичность,Noun,negative,анемичность,opinion
122,анемичный,Adj,negative,анемичный,opinion
123,анемия,Noun,negative,анемия,fact
124,аномалия,Noun,negative,аномалия,opinion
125,аномальность,Noun,negative,аномальность,opinion
126,аномальный,Adj,negative,аномальный,opinion
127,анорексичка,Noun,negative,анорексичка,opinion
128,анорексия,Noun,negative,анорексия,fact
129,антагонизм,Noun,negative,антагонизм,opinion
130,антагонистический,Adj,negative,антагонистический,opinion
131,антагонистичный,Adj,negative,антагонистичный,opinion
132,антагонистка,Noun,negative,антагонистка,opinion
133,антагонистский,Adj,negative,антагонистский,opinion
134,антагонист,Noun,negative,антагонист,opinion
135,антигуманистический,Adj,negative,антигуманистический,opinion
136,антигуманность,Noun,negative,антигуманность,opinion
137,антигуманный,Adj,negative,антигуманный,opinion
138,антизаконный,Adj,negative,антизаконный,opinion
139,антиконституционность,Noun,negative,антиконституционность,fact
140,антиконституционный,Adj,negative,антиконституционный,fact
141,антимонопольный,Adj,negative,антимонопольный,fact
142,антинародный,Adj,negative,антинародный,opinion
143,антиобщественный,Adj,negative,антиобщественный,opinion
144,антипатичность,Noun,negative,антипатичность,opinion
145,антипатичный,Adj,negative,антипатичный,opinion
146,антипатия,Noun,negative,антипатия,feeling
147,антиправительственный,Adj,negative,антиправительственный,fact
148,антисанитария,Noun,negative,антисанитария,fact
149,антисанитарный,Adj,negative,антисанитарный,fact
150,антисемитизм,Noun,negative,антисемитизм,fact
151,антисемитка,Noun,negative,антисемитка,fact
152,антисемитский,Adj,negative,антисемитский,fact
153,антисемит,Noun,negative,антисемит,fact
154,антисионистский,Adj,negative,антисионистский,fact
155,антисоциальный,Adj,negative,антисоциальный,opinion
156,антицеллюлитный,Adj,positive,антицеллюлитный,fact
157,античеловеческий,Adj,negative,античеловеческий,opinion
158,античеловечный,Adj,negative,античеловечный,opinion
159,антракс,Noun,negative,антракс,fact
160,антропофагия,Noun,negative,антропофагия,fact
161,анус,Noun,negative,анус,fact
162,анфолловер,Noun,negative,анфолловер,fact
163,анфолловинг,Noun,negative,анфолловинг/анфолловинга,fact
164,анфолловить,Verb,negative,анфолловить,fact
165,анфоловить,Verb,negative,анфоловить,fact
166,апартеид,Noun,negative,апартеид,fact
167,апатический,Adj,negative,апатический,opinion
168,апатичность,Noun,negative,апатичность,opinion
169,апатичный,Adj,negative,апатичный,opinion
170,апатия,Noun,negative,апатия,opinion
171,апоплексический,Adj,negative,апоплексический,fact
172,апоплексия,Noun,negative,апоплексия,fact
173,аппетитность,Noun,positive,аппетитность,opinion
174,аппетитные формы,NG,positive,аппетитный форма,opinion
175,аппетитный,Adj,positive,аппетитный,opinion
176,арестовать,Verb,negative,арестовать,fact
177,арестовывать,Verb,negative,арестовывать,fact
178,арест,Noun,negative,арест,fact
179,аристократизм,Noun,positive,аристократизм,opinion
180,аристократический,Adj,positive,аристократический,opinion
181,аристократичность,Noun,positive,аристократичность,opinion
182,аристократичный,Adj,positive,аристократичный,opinion
183,аристократка,Noun,positive,аристократка,opinion
184,аристократ,Noun,positive,аристократ,opinion
185,аритмия,Noun,negative,аритмия,fact
186,ароматический,Adj,positive,ароматический,feeling
187,ароматичность,Noun,positive,ароматичность,feeling
188,ароматичный,Adj,positive,ароматичный,feeling
189,ароматность,Noun,positive,ароматность,feeling
190,ароматный,Adj,positive,ароматный,feeling
191,аромат,Noun,positive,аромат,feeling
192,артачиться,Verb,negative,артачиться,opinion
193,артериосклероз,Noun,negative,артериосклероз,fact
194,артеросклероз,Noun,negative,артеросклероз,fact
195,артистизм,Noun,positive,артистизм,opinion
196,артистический,Adj,positive,артистический,opinion
197,артистичность,Noun,positive,артистичность,opinion
198,артистичный,Adj,positive,артистичный,opinion
199,артист в своем деле,NG,positive,артист в свой дело,opinion
200,артист своего дела,NG,positive,артист свой дело,opinion
201,артрит,Noun,negative,артрит,fact
202,архаический,Adj,negative,архаический,opinion
203,архаичность,Noun,negative,архаичность,opinion
204,архаичный,Adj,negative,архаичный,opinion
205,архиважный,Adj,positive,архиважный,opinion
206,астматик,Noun,negative,астматик,fact
207,астматический,Adj,negative,астматический,fact
208,астма,Noun,negative,астма,fact
209,асфиксия,Noun,negative,асфиксия,fact
210,атака,Noun,negative,атака,fact
211,атака,Noun,positive,атака,fact
212,атеросклероз,Noun,negative,атеросклероз,fact
213,атеросклеротический,Adj,negative,атеросклеротический,fact
214,атмосферный выброс,NG,negative,атмосферный выброс,fact
215,аутсайдерский,Adj,negative,аутсайдерский,opinion
216,аутсайдер,Noun,negative,аутсайдер,opinion
217,афера,Noun,negative,афера,opinion
218,аферистка,Noun,negative,аферистка,opinion
219,аферистский,Adj,negative,аферистский,opinion
220,аферист,Noun,negative,аферист,opinion
221,афигенно,Adv,positive,афигенно,opinion
222,афигенный,Adj,positive,афигенный,opinion
